epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3137.37,3.3711,3.18457,3.3076,0.01198,0.26389,0.13681,0.05723,2.72423,4.2878,4.05764,0.0005941,0.0005941,0.0005941
43,3220.28,3.19872,3.02829,3.3247,0.01299,0.31944,0.18523,0.07818,2.71341,4.22752,4.02128,0.0005842,0.0005842,0.0005842
44,3305.14,3.37664,3.22458,3.40921,0.01246,0.31944,0.13776,0.07118,2.67876,4.16875,4.007,0.0005743,0.0005743,0.0005743
45,3385.43,3.52721,3.39225,3.34042,0.01246,0.31944,0.13776,0.07118,2.67876,4.16875,4.007,0.0005644,0.0005644,0.0005644
46,3465.34,3.37964,3.05341,3.27636,0.868,0.05556,0.13212,0.06213,2.64664,4.12262,3.9853,0.0005545,0.0005545,0.0005545
47,3544.9,3.3297,3.2373,3.24321,0.92771,0.05556,0.1056,0.04447,2.65081,4.09769,3.95835,0.0005446,0.0005446,0.0005446
48,3625.38,3.30362,3.18042,3.33339,0.9453,0.05556,0.09527,0.0475,2.68843,4.05676,3.94507,0.0005347,0.0005347,0.0005347
49,3703.84,3.30149,3.14085,3.21853,0.9453,0.05556,0.09527,0.0475,2.68843,4.05676,3.94507,0.0005248,0.0005248,0.0005248
50,3785.44,3.21821,3.07689,3.26922,0.96345,0.05556,0.11199,0.0456,2.69946,4.01516,3.92881,0.0005149,0.0005149,0.0005149
51,3869.03,3.07169,2.96513,3.23151,0.96859,0.05556,0.10968,0.05093,2.71736,3.98984,3.91009,0.000505,0.000505,0.000505
52,3952.63,3.21247,3.10278,3.21794,0.96487,0.05556,0.10128,0.04894,2.67791,3.97639,3.91954,0.0004951,0.0004951,0.0004951
53,4029.37,3.1746,2.99148,3.15958,0.96487,0.05556,0.10128,0.04894,2.67791,3.97639,3.91954,0.0004852,0.0004852,0.0004852
54,4109.25,3.12232,3.05659,3.07187,0.90888,0.05556,0.10285,0.03743,2.67722,3.94558,3.9169,0.0004753,0.0004753,0.0004753
55,4187.33,3.07578,2.88994,3.09645,0.67821,0.10343,0.1289,0.05135,2.68406,3.89256,3.89269,0.0004654,0.0004654,0.0004654
56,4250.29,3.14495,2.99929,3.13515,0.50087,0.08254,0.13633,0.05068,2.67846,3.91029,3.89045,0.0004555,0.0004555,0.0004555
57,4310.44,3.10915,2.99143,3.07165,0.50087,0.08254,0.13633,0.05068,2.67846,3.91029,3.89045,0.0004456,0.0004456,0.0004456
